"sector45","under18","workingage","65plus"
1,0.065671629212822,0.915859343808015,0.0184690269791189
2,0.0412490339735293,0.939394796538554,0.0193561694879165
3,0.0581718434841046,0.865336385808313,0.0764917707075828
4,0.0883625879963987,0.756722895933047,0.154914516070554
5,0.0593208209465264,0.885602709059721,0.0550764699937523
6,0.0737132398461624,0.846548568371501,0.0797381917823426
7,0.088964084812671,0.811667461293265,0.0993684538940674
8,0.0713251243996648,0.858007004728455,0.0706678708718837
9,0.0826521711130897,0.7969996501843,0.120348178702611
10,0.0885575555366722,0.789499861986648,0.121942582476679
11,0.0646288674366957,0.861769802109255,0.0736013304540488
12,0.106767358063921,0.818897779065804,0.0743348628702607
13,0.0912486934044148,0.807996278639006,0.100755027956579
14,0.0930343475160859,0.818067170977325,0.0888984815065906
15,0.0900375100025414,0.83102896064814,0.0789335293493203
16,0.084331700832831,0.838621169071514,0.0770471300956361
17,0.0998409315237314,0.816227339007459,0.0839317294687988
18,0.0842696694325,0.835533751244823,0.0801965793226804
19,0.086580087055837,0.828663155830612,0.0847567571135439
20,0.0822331381710262,0.843005073770443,0.0747617880585136
21,0.0618180936085949,0.883830381549813,0.054351524841578
22,0.0876021676525951,0.834926984195791,0.0774708481516215
23,0.0823753457899191,0.846276952132957,0.071347702077105
24,0.104000350918873,0.796228189802393,0.09977145927873
25,0.0868407196755067,0.874787467176915,0.0383718131475064
26,0.152524055119758,0.71931048867581,0.128165456204467
27,0.0934767450408694,0.746972254416522,0.15955100054268
28,0.0554947026819805,0.793641198641557,0.150864098676464
29,0.113963971076048,0.804342028186543,0.0816940007374109
30,0.104210034758228,0.80477377553519,0.0910161897065877
31,0.112430388945534,0.770222537038206,0.117347074016233
32,0.158787923976475,0.742738439354968,0.0984736366685435
33,0.130136031314162,0.68894565155794,0.180918317127894
34,0.111787546015102,0.773923416477138,0.114289037507749
35,0.107226350326719,0.799910965232733,0.0928626844405747
36,0.140387065586063,0.738371807452825,0.12124112696112
37,0.141572884168611,0.745743657614345,0.112683458217082
38,0.11335719712802,0.782727266304763,0.103915536567204
39,0.132284095888605,0.783363859631371,0.0843520444800199
40,0.148843588582457,0.762727359217357,0.0884290522001641
41,0.468687865934946,0.463033097649035,0.0682790364162087
42,0.162821287685553,0.675976689173615,0.161202023141093
43,0.15456363337224,0.696568594614646,0.148867772013125
44,0.0957969443785551,0.815937487444424,0.0882655681770016
45,0.0445536245974011,0.896502111890278,0.0589442635123223
