COUNTRY,YEAR,BOR,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,2001,84.00,,,,,,,,,,,,,,,,,,,77.7,79.1,76.7,75.3,74.8,76.5,76.3,78.2,78.9,78.5,78.4,78.2,77.5,78.5,79.9,82.1,82.2,81.1,78.6,82,82,83,84,85,84,,,,,,,,,,,,,,,,,,,
Estonia,2019,73.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1995,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,74.6,73.1,77.3,76.7,74.2,72.1,68.4,70.1,67.4,74,,,,,,,,,,,,,,,,,,,,,,,,,
France,2019,78.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2019,48.50,,,,,,,,,,,,,,,,,,,,,,72.9,,,,,66.3,67.1,64.7,61.6,56.4,54.8,55.3,34.2,31.8,26.8,26.1,23.8,,,23.2,22,23.2,25.4,25.8,27.2,26.8,32.3,34.4,38.4,40.60273973,43.83561644,47.56164384,62.71232877,49.69863014,51.5890411,52.95890411,51.8630137,49.45205479,51.28767123,48.5,
Germany,2019,79.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2018,58.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2019,63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2019,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2019,89.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2019,90.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2019,78.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2019,76.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2019,87.20,,,,,,,,,,,,,,,,,,,,,,86.5,,,,,85.1,86.1,85.7,85.3,80.8,79,78.7,77.7,76.1,73.9,72.1,73.7,80.8,91.2,92.6,97,96.5,91.5,84.6,95.6,93.2,93.7,94.8,89.4,88.5,85.2,84.5,83,86.8,86.2,88.4,91.2,90.4,84.4,87.2,
Korea,2015,64.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,2019,87.30,,,,,,,,,,,,,,,,,,,,,,86.4,,,,,86.2,87.5,88.4,86.8,82.8,80.4,78.3,77.9,80.2,78,79.3,80.55,83.6,81.7,92.1,90.2,87.6,86.8,87.6,90,88.8,95.2,94.9,93.5,97.4,98.2,98.2,96,90.9,88.2,85.9,91.5,86,87.6,87.3,
Latvia,2019,73.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2019,72.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2019,78.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,2018,81.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2019,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2019,71.80,,,,,,,,,,,,,,,,,,,,,,91.5,90.4,92.3,93.9,93.4,93.5,92.1,89.2,89,86.2,84.5,83.3,83.5,88.9,89.6,85.5,80.8,80,77.6,71,66.6,70.7,75.1,74.8,62.9,67.7,72.9,73,76.3,76.2,76,88.8,87.4,89.3,90.3,75.8,74.6,73.7,73.4,71.8,
Montenegro,2018,72.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2019,63.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,2013,59.70,,,,,,,,,,,,,,,,,,,,,,71.5,73.2,73.7,72.6,74.8,73,74.1,75.6,73.6,66.7,69,64.9,68.2,68.2,68,67.4,67.1,63.9,66.5,63,60.1,53.7,53.7,54.4,55,55.5,54.5,54.4,54,,,,,59.7,,,,,,,
